source_url,row_count,traceability_status,http_status,content_type,status,local_path,retrieved_at,notes
https://www.osha.gov/sites/default/files/publications/OSHA3088.pdf,5,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHA3151.pdf,2,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHA3172.pdf,1,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf,29,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHA3678.pdf,4,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHA3780.pdf,1,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHA3908.pdf,1,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHA3909.pdf,1,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHA3912.pdf,1,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHA3918.pdf,1,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHA4480.pdf,2,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-CHEMICAL-HYGIENE-PLAN.pdf,4,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,3,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHAfactsheet-laboratory-safety-chemical-hygiene-plan.pdf,1,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHAfactsheet-metrics-in-psm.pdf,1,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHAquickfacts-lab-safety-chemical-fume-hoods.pdf,1,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/OSHAquickfacts-lab-safety-labeling-chemical-transfer.pdf,1,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.osha.gov/sites/default/files/publications/highly-hazardous-chemicals-factsheet.pdf,1,blocked_or_forbidden,403,text/html,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
https://www.umb.edu.pl/photo/ftplib/Wydzialy/wnl/FTiA/ZnO/User%20manual%20Zetasizer.pdf,1,open,200,text/html; charset=utf-8,missing_after_automated_attempts,,2026-07-25T15:24:08.880764+00:00,未保存为本地 PDF：自动化下载未取得可通过 %PDF- 校验的原件；需人工浏览器另存、换网络或替换为同机构现行下载端点。
