captured_at,health_status,health_ok,dify_reachable,meta_status,knowledge_base_rows,knowledge_base_imported,knowledge_base_chunked,knowledge_base_external,stats_status,recent_count,recent_avg_ms,recent_p50_ms,recent_p95_ms,recent_max_ms,recent_cache_hit_rate,runtime_started_at,runtime_pid,runtime_url,dify_host
2026-07-07T09:51:49,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-07T09:51:47,31432,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-08T19:46:58,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-08T19:46:56,9156,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-08T19:48:45,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-08T19:46:56,9156,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-09T18:32:07,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-09T18:32:06,25368,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-10T10:45:11,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-10T10:45:09,30544,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-10T10:46:49,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-10T10:45:09,30544,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-11T17:40:53,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-11T17:40:50,25308,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-11T17:41:25,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-11T17:40:50,25308,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-11T21:38:33,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-11T21:38:32,5244,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-12T09:29:49,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-12T09:29:47,31112,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-12T09:36:15,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-12T09:29:47,31112,http://127.0.0.1:8088,http://127.0.0.1:8080
