run,file,size_bytes,magic_pdf,pages,parse_error,verdict
pdf_source_backups_20260725,033_assets.thermofisher.com_f762746cf1_MAN0016959_GAHyPerformanceAPTSKit_UG.pdf,937896,yes,40,,ok
pdf_source_backups_20260725,033_www.cdc.gov_1f06f0fc6b_2012-123.pdf,793994,yes,2,,ok
pdf_source_backups_20260725,034_documents.thermofisher.com_81500d1616_apex-te-mct-an64724-en.pdf,1224156,yes,4,,ok
pdf_source_backups_20260725,034_www.cdc.gov_d0b717ab25_2023-139revised092023.pdf,429689,yes,2,,ok
pdf_source_backups_20260725,035_documents.thermofisher.com_714ccaa72b_50155784-c-Thermo_Scientific_Sorvall_ST_16R-en.pdf,803970,yes,51,,ok
pdf_source_backups_20260725,035_www.cdc.gov_674a7e7f5a_2025-107.pdf,2445786,yes,164,,ok
pdf_source_backups_20260725,036_documents.thermofisher.com_be4be0cbb2_bsc-a2-b2-differences-appnote.pdf,190114,yes,6,,ok
pdf_source_backups_20260725,036_www.cdc.gov_809385b67a_2025-100.pdf,1105489,yes,8,,ok
pdf_source_backups_20260725,037_documents.thermofisher.com_7491821c25_FL53370-gas-phase-ftir-smoke-toxicity-measurements.pdf,739137,yes,2,,ok
pdf_source_backups_20260725,037_www.cdc.gov_6c0e51fbe9_1993-0802-2338.pdf,347717,yes,33,,ok
pdf_source_backups_20260725,038_www.cdc.gov_1c45147cb5_1999-0313-2802.pdf,212227,yes,14,,ok
pdf_source_backups_20260725,039_ehs.stonybrook.edu_92d2ec072f_EHS_Policy_4.5_Laboratory_Chemical_Fume_Hood_Safety_Program.pdf,273948,yes,11,,ok
pdf_source_backups_20260725,039_www.cdc.gov_4264504700_2017-0114-3357.pdf,1860035,yes,53,,ok
pdf_source_backups_20260725,040_www.cdc.gov_155c899d97_74-7-270.pdf,5316514,yes,26,,ok
pdf_source_backups_20260725,041_greenlabs.caltech.edu_6b590d71fc_LC-125_Lab-Guidelines-and-Standards_RevC_US.pdf,356358,yes,34,,ok
pdf_source_backups_20260725,041_www.cdc.gov_de8e61f710_83-63-1364.pdf,1362166,yes,8,,ok
pdf_source_backups_20260725,042_lcc.sjtu.edu.cn_8b99dd9cd8_pdf.pdf,730162,yes,32,,ok
pdf_source_backups_20260725,043_nationalmaglab.org_005478fdf4_sp-13-chemical-safety-procedure.pdf,798667,yes,59,,ok
pdf_source_backups_20260725,045_nmr.nd.edu_298a5e0871_bruker_nmr_training_g.1.pdf,451808,yes,10,,ok
pdf_source_backups_20260725,046_reagent.bjmu.edu.cn_f653362bef_20230414134400495__20210610.pdf,1728047,yes,44,,ok
pdf_source_backups_20260725,048_tuttnauer.com_6017cb28d4_Manual-Autoclaves-Cleaning_Weekly.pdf,1646457,yes,29,,ok
pdf_source_backups_20260725,051_www.birmingham.ac.uk_68514fa131_brochure-br010en-03-a-invia-confocal-raman-microscope-1.pdf,4058621,yes,26,,ok
pdf_source_backups_20260725,064_www.csi.cuny.edu_a0f7b3baf1_CSI_Chemical_Hygiene_Plan.pdf,1902663,yes,64,,ok
pdf_source_backups_20260725,070_www.renishaw.com_034894fa56_declaration-of-conformity-invia-raman-spectrometer--130961.pdf,56026,yes,1,,ok
pdf_source_backups_20260725,071_www.shimadzu.com_08f8d1fc92_c122-e064.pdf,1810449,yes,20,,ok
pdf_source_backups_20260725,072_www.slu.edu_03ba95a15f_chemical_hygiene_plan.pdf,452921,yes,34,,ok
pdf_source_backups_20260725,075_www.uwindsor.ca_edb6badd53_lsm_2025.pdf,2441384,yes,93,,ok
pdf_source_backups_20260725,dl_iwaste.epa.gov_9fd55afb07_handbk4.pdf,1476995,yes,22,,ok
pdf_source_backups_20260725,repl_001_ehs.yale.edu_68ba2299cb_biosafety-manual.pdf,8494381,yes,201,,ok
pdf_source_backups_20260725,repl_002_www.uoguelph.ca_cf56ee6cc1_Laboratory_Safety_Manual.pdf,9766944,yes,107,,ok
pdf_source_backups_20260725,repl_003_www.agilent.com_6d748cab68_user-manual-gcms-hydrogen-safety-q7003-90053-en-agilent.pdf,1050563,yes,82,,ok
pdf_source_backups_20260725,retry_001_documents.thermofisher.com_5dbcf8b027_Man-1R120706-0002-GC-MS-Q-Exactive-Man1R1207060002-EN.pdf,15035677,yes,187,,ok
pdf_source_backups_20260725,retry_003_chemistry.unt.edu_0457e87f5b_tga_2_user_manual.pdf,18950193,yes,62,,ok
pdf_source_backups_20260725,sslfix_014_nmr.chem.ucsb.edu_ca6c6b71e3_user_manual_topspin_ts40.pdf,10830901,yes,272,,ok
pdf_source_backups_20260725,sslfix_016_www.acs.org_7885fdc906_academic-safety-culture-report.pdf,1088353,yes,63,,ok
pdf_source_backups_20260725,sslfix_034_www.weizmann.ac.il_8a34284a26_bruker_magnet_safety_0.pdf,166270,yes,12,,ok
pdf_source_backups_20260725,sslfix_035_www.weizmann.ac.il_3d6d102a1b_bruker_refill_manual_0.pdf,1067100,yes,44,,ok
pdf_source_backups_20260728,001_www.osha.gov_272a509b99_OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf,1997395,yes,52,,ok
pdf_source_backups_20260728,002_documents.thermofisher.com_b5022506ec_Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf,4568712,yes,154,,ok
pdf_source_backups_20260728,003_osp.od.nih.gov_05b0e68e10_NIH_Guidelines.pdf,2015735,yes,132,,ok
pdf_source_backups_20260728,004_www.osha.gov_d5f3a672e9_OSHA3088.pdf,1614102,yes,30,,ok
pdf_source_backups_20260728,005_www.osha.gov_2f0ead6589_OSHA3678.pdf,1181236,yes,2,,ok
pdf_source_backups_20260728,006_www.osha.gov_567c79ad70_OSHAFACTSHEET-LABORATORY-SAFETY-CHEMICAL-HYGIENE-PLAN.pdf,402549,yes,2,,ok
pdf_source_backups_20260728,007_ehs.berkeley.edu_a063a7746b_compressed-gas-proper-use-booklet.pdf,715617,yes,16,,ok
pdf_source_backups_20260728,009_www.osha.gov_ab2c082214_OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,403077,yes,2,,ok
pdf_source_backups_20260728,010_www.nrc.gov_6b69602e3e_ML013330106.pdf,10392186,yes,221,,ok
pdf_source_backups_20260728,011_www.nrc.gov_4661509190_ML080910098.pdf,6227942,yes,54,,ok
pdf_source_backups_20260728,012_www.nrc.gov_9600f77148_ML25175A081.pdf,1208570,yes,20,,ok
pdf_source_backups_20260728,013_www.nrc.gov_2f3f53aafe_ML101900087.pdf,206986,yes,6,,ok
pdf_source_backups_20260728,014_www.osha.gov_6b779ab17e_FORMALDEHYDE-FACTSHEET.pdf,1078638,yes,2,,ok
pdf_source_backups_20260728,015_www.osha.gov_2200a64589_OSHA3071.pdf,492885,yes,51,,ok
pdf_source_backups_20260728,016_www.osha.gov_e1dfae08d0_OSHA3151.pdf,572471,yes,46,,ok
pdf_source_backups_20260728,017_www.osha.gov_b80c075541_OSHA4480.pdf,293248,yes,4,,ok
pdf_source_backups_20260728,018_ehs.berkeley.edu_169195031b_tcp-gas-program.pdf,890676,yes,22,,ok
pdf_source_backups_20260728,019_tools.thermofisher.com_8d358f2066_iCAP_6000_Spectrometers_Pre-Installation_Manual_v4_2.pdf,500186,yes,21,,ok
pdf_source_backups_20260728,020_www.nrc.gov_a4a5ad0c99_ML082280814.pdf,2543544,yes,36,,ok
pdf_source_backups_20260728,021_www.nrc.gov_c359985a3a_ML082750235.pdf,78339,yes,2,,ok
pdf_source_backups_20260728,022_www.nrc.gov_17858c3c34_ML12044A227.pdf,1153659,yes,22,,ok
pdf_source_backups_20260728,023_www.nrc.gov_7d02ee9cab_ML13064A088.pdf,251941,yes,3,,ok
pdf_source_backups_20260728,024_www.nrc.gov_9613606c2a_ML16090A100.pdf,279909,yes,30,,ok
pdf_source_backups_20260728,025_www.osha.gov_67438391e1_fireprotection.pdf,114688,yes,10,,ok
pdf_source_backups_20260728,026_www.osha.gov_8ef3bf1ee6_Job_Hazard_Analysis_Worksheet.pdf,548654,yes,6,,ok
pdf_source_backups_20260728,027_www.osha.gov_3279d35b66_CPL_02-01-065.pdf,938667,yes,103,,ok
pdf_source_backups_20260728,028_www.osha.gov_a07b6d0bab_PUB_8-1_5.pdf,3576486,yes,88,,ok
pdf_source_backups_20260728,029_www.osha.gov_d5d6838aad_OSHA3172.pdf,5583324,yes,40,,ok
pdf_source_backups_20260728,030_www.osha.gov_43ee38849b_OSHA3780.pdf,781817,yes,4,,ok
pdf_source_backups_20260728,031_www.osha.gov_66790597ef_OSHA3908.pdf,810731,yes,38,,ok
