source_url,row_count,live_recheck_status,manual_reader_status,evidence_url,final_url,http_status,content_type,evidence_kind,content_verified,local_path,sha256,size_bytes,retrieved_at,notes
https://www.agilent.com/cs/library/usermanuals/public/user-guide-coverting-ei-gcms-instruments-5994-2312en-agilent.pdf,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/cs/library/usermanuals/public/user-guide-coverting-ei-gcms-instruments-5994-2312en-agilent.pdf,https://web.archive.org/web/20230514141404id_/https://www.agilent.com/cs/library/usermanuals/public/user-guide-coverting-ei-gcms-instruments-5994-2312en-agilent.pdf,200,application/pdf,wayback_pdf,yes,artifacts\source_recheck_20260728\secondary_evidence\files\011_www.agilent.com_6cd4ed6324_user-guide-coverting-ei-gcms-instruments-5994-2312en-agilent.pdf,7a17c814ed32938d5e1253eb61fceb6e5c555ed7d804e6ddb77a2ff537122a23,1415055,2026-07-28T09:52:23.122598+00:00,historical content evidence only; live URL status remains unchanged
https://www.agilent.com/cs/library/usermanuals/public/user-manual-gcms-hydrogen-safety-q7003-90053-en-agilent.pdf,2,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/cs/library/usermanuals/public/user-manual-gcms-hydrogen-safety-q7003-90053-en-agilent.pdf,https://web.archive.org/web/2id_/https://www.agilent.com/cs/library/usermanuals/public/user-manual-gcms-hydrogen-safety-q7003-90053-en-agilent.pdf,404,text/html,,no,,,,2026-07-28T09:52:29.893480+00:00,HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/2id_/https://www.agilent.com/cs/library/usermanuals/public/user-manual-gcms-hydrogen-safety-q7003-90053-en-agilent.pdf
https://www.agilent.com/cs/library/usermanuals/public/usermanual-gc-operation-8890-g3540-90014-en-agilent.pdf,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/cs/library/usermanuals/public/usermanual-gc-operation-8890-g3540-90014-en-agilent.pdf,https://web.archive.org/web/20240223124654id_/https://www.agilent.com/cs/library/usermanuals/public/usermanual-gc-operation-8890-g3540-90014-en-agilent.pdf,200,application/pdf,wayback_pdf,yes,artifacts\source_recheck_20260728\secondary_evidence\files\013_www.agilent.com_f1ec1c8e28_usermanual-gc-operation-8890-g3540-90014-en-agilent.pdf,785359641bb1f863c9300945f4a30c407fd1cd4cb6b88d2e780f9ac953bc4320,1048576,2026-07-28T09:52:31.221001+00:00,historical content evidence only; live URL status remains unchanged
https://www.agilent.com/en/product/atomic-spectroscopy/atomic-absorption/aas-resource-hub,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/atomic-spectroscopy/atomic-absorption/aas-resource-hub,https://web.archive.org/web/20240716131516id_/https://www.agilent.com/en/product/atomic-spectroscopy/atomic-absorption/aas-resource-hub,200,text/html; charset=UTF-8,wayback_html,yes,artifacts\source_recheck_20260728\secondary_evidence\files\014_www.agilent.com_b5ee53b25f_aas-resource-hub.html,50d87a6b78f592845707835bef55aa1fad2b64415ebd9df36a9638e91a7627b2,202341,2026-07-28T09:52:38.261362+00:00,historical content evidence only; live URL status remains unchanged
https://www.agilent.com/en/product/atomic-spectroscopy/atomic-absorption/atomic-absorption-hollow-cathode-lamps,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/atomic-spectroscopy/atomic-absorption/atomic-absorption-hollow-cathode-lamps,https://web.archive.org/web/20260103153301id_/https://www.agilent.com/en/product/atomic-spectroscopy/atomic-absorption/atomic-absorption-hollow-cathode-lamps,200,text/html; charset=UTF-8,wayback_html,yes,artifacts\source_recheck_20260728\secondary_evidence\files\015_www.agilent.com_c9d1235952_atomic-absorption-hollow-cathode-lamps.html,b03e88b432dff85a0985d072c6ec991890768d22264750a8245dc93ff4289f2c,152985,2026-07-28T09:52:40.409590+00:00,historical content evidence only; live URL status remains unchanged
https://www.agilent.com/en/product/atomic-spectroscopy/inductively-coupled-plasma-mass-spectrometry-icp-ms/icp-ms-instrument-accessory-supplies/tools-manuals-for-icp-ms,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/atomic-spectroscopy/inductively-coupled-plasma-mass-spectrometry-icp-ms/icp-ms-instrument-accessory-supplies/tools-manuals-for-icp-ms,https://web.archive.org/web/20260214081821id_/https://www.agilent.com/en/product/atomic-spectroscopy/inductively-coupled-plasma-mass-spectrometry-icp-ms/icp-ms-instrument-accessory-supplies/tools-manuals-for-icp-ms,200,text/html; charset=UTF-8,wayback_html,yes,artifacts\source_recheck_20260728\secondary_evidence\files\016_www.agilent.com_87adfacb73_tools-manuals-for-icp-ms.html,906832f387a7ede707e52afd81febcbe2e52303155abc5bcfa2e15c9f215dcee,166749,2026-07-28T09:52:42.713637+00:00,historical content evidence only; live URL status remains unchanged
https://www.agilent.com/en/product/atomic-spectroscopy/inductively-coupled-plasma-mass-spectrometry-icp-ms/icp-ms-instruments/7800-icp-ms,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/atomic-spectroscopy/inductively-coupled-plasma-mass-spectrometry-icp-ms/icp-ms-instruments/7800-icp-ms,https://web.archive.org/web/20260306214426id_/https://www.agilent.com/en/product/atomic-spectroscopy/inductively-coupled-plasma-mass-spectrometry-icp-ms/icp-ms-instruments/7800-icp-ms,200,text/html; charset=UTF-8,wayback_html,yes,artifacts\source_recheck_20260728\secondary_evidence\files\017_www.agilent.com_c7414f589b_7800-icp-ms.html,d86b1300e0b82801a529c0ffb4e4f0987b3396e09ebc7b2e96aae456db9bfe5a,287058,2026-07-28T09:52:45.110337+00:00,historical content evidence only; live URL status remains unchanged
https://www.agilent.com/en/product/liquid-chromatography/hplc-detectors,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/hplc-detectors,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/hplc-detectors,404,text/html,,no,,,,2026-07-28T09:52:47.531096+00:00,HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/hplc-detectors
https://www.agilent.com/en/product/liquid-chromatography/hplc-supplies-accessories,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/hplc-supplies-accessories,https://web.archive.org/web/20260212094904id_/https://www.agilent.com/en/product/liquid-chromatography/hplc-supplies-accessories,403,text/html,,no,,,,2026-07-28T09:52:49.723844+00:00,HTTPError: 403 Client Error: Forbidden for url: https://web.archive.org/web/20260212094904id_/https://www.agilent.com/en/product/liquid-chromatography/hplc-supplies-accessories
https://www.agilent.com/en/product/liquid-chromatography/hplc-supplies-accessories/solvent-management-for-hplc/stay-safe-caps-accessories-for-hplc,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/hplc-supplies-accessories/solvent-management-for-hplc/stay-safe-caps-accessories-for-hplc,https://web.archive.org/web/20260213133014id_/https://www.agilent.com/en/product/liquid-chromatography/hplc-supplies-accessories/solvent-management-for-hplc/stay-safe-caps-accessories-for-hplc,200,text/html; charset=UTF-8,wayback_html,yes,artifacts\source_recheck_20260728\secondary_evidence\files\020_www.agilent.com_6a5978060e_stay-safe-caps-accessories-for-hplc.html,1e7084687e9f8873c5ec9d1935e17e3f0fd722bf1bdc0ea1575f515802a3712e,213716,2026-07-28T09:52:54.450116+00:00,historical content evidence only; live URL status remains unchanged
https://www.agilent.com/en/product/liquid-chromatography/hplc-systems,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/hplc-systems,https://web.archive.org/web/20250713044506id_/https://www.agilent.com/en/product/liquid-chromatography/hplc-systems,200,text/html; charset=UTF-8,wayback_html,yes,artifacts\source_recheck_20260728\secondary_evidence\files\021_www.agilent.com_4f676de57f_hplc-systems.html,5c230d1f96308662536e10a1641c1dcc0370f7345dbd574a624675e77041cb19,1662998,2026-07-28T09:52:57.136808+00:00,historical content evidence only; live URL status remains unchanged
https://www.agilent.com/en/product/liquid-chromatography/hplc-systems/preparative-hplc-systems/1290-infinity-ii-preparative-lc-msd-system,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/hplc-systems/preparative-hplc-systems/1290-infinity-ii-preparative-lc-msd-system,https://web.archive.org/web/20251231054648id_/https://www.agilent.com/en/product/liquid-chromatography/hplc-systems/preparative-hplc-systems/1290-infinity-ii-preparative-lc-msd-system,200,text/html; charset=UTF-8,wayback_html,yes,artifacts\source_recheck_20260728\secondary_evidence\files\022_www.agilent.com_0dc11cb2bb_1290-infinity-ii-preparative-lc-msd-system.html,15485bb8224441a66887856a001b89185b3ff05eab9a946852e678b64c98f1e8,276934,2026-07-28T09:53:01.678827+00:00,historical content evidence only; live URL status remains unchanged
https://www.agilent.com/en/product/liquid-chromatography/mass-spectrometry-lc-ms,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/mass-spectrometry-lc-ms,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/mass-spectrometry-lc-ms,404,text/html,,no,,,,2026-07-28T09:53:04.273411+00:00,HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/mass-spectrometry-lc-ms
https://www.agilent.com/en/product/liquid-chromatography/mass-spectrometry-lc-ms/infinitylab-lc-msd-series,1,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/mass-spectrometry-lc-ms/infinitylab-lc-msd-series,https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/mass-spectrometry-lc-ms/infinitylab-lc-msd-series,404,text/html,,no,,,,2026-07-28T09:53:04.917314+00:00,HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/2id_/https://www.agilent.com/en/product/liquid-chromatography/mass-spectrometry-lc-ms/infinitylab-lc-msd-series
https://www.cernet.edu.cn/ke_yan_yu_fa_zhan/gai_kuang/xin_wen_gong_gao/202302/t20230221_2301697.shtml,6,network_error,web_reader_error_or_blocked,https://web.archive.org/web/2id_/https://www.cernet.edu.cn/ke_yan_yu_fa_zhan/gai_kuang/xin_wen_gong_gao/202302/t20230221_2301697.shtml,https://web.archive.org/web/2id_/https://www.cernet.edu.cn/ke_yan_yu_fa_zhan/gai_kuang/xin_wen_gong_gao/202302/t20230221_2301697.shtml,404,text/html,,no,,,,2026-07-28T09:53:06.137275+00:00,HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/2id_/https://www.cernet.edu.cn/ke_yan_yu_fa_zhan/gai_kuang/xin_wen_gong_gao/202302/t20230221_2301697.shtml
